"","x"
"1",7.66953494941731
"2",14.9317639113255
"3",14.3614301426423
"4",3.35854436053063
"5",13.5398526821146
"6",6.29207395177145
"7",11.9559840223767
"8",8.79996869725229
"9",11.9842224090741
"10",11.8347657341706
"11",12.1009050624703
"12",11.6711313920997
"13",8.98615119869309
"14",15.9896784024058
"15",9.66836204153581
"16",11.3306456027464
"17",9.52189822861433
"18",5.20696008973113
"19",4.28147742252769
"20",6.62862054758571
"21",7.84058449753256
"22",14.608336941683
"23",10.894000536457
"24",12.6919757999112
"25",7.43705217507678
"26",12.4635373946491
"27",10.1862099979831
"28",11.1611769415088
"29",9.55911529857198
"30",14.2826514015603
"31",7.56742638276795
"32",11.3406051048044
"33",10.051399613051
"34",14.1718383828959
"35",15.4420216853036
"36",8.37975615996435
"37",11.252962447641
"38",8.86956727444298
"39",13.6604557466608
"40",9.6415097036707
"41",13.6654833349073
"42",14.932151758834
"43",3.80610086670725
"44",10.9357317126272
"45",11.4689189948427
"46",6.3474321482937
"47",5.10428356864066
"48",14.1856620357879
"49",10.8884878790578
"50",11.0380510640225
"51",5.40930315814807
"52",6.17150336529563
"53",9.34681890462857
"54",11.1144696675256
"55",14.8296304351336
"56",7.5739983241299
"57",11.9136177385455
"58",5.29510218804958
"59",5.40735563287434
"60",10.1471880907907
"61",11.5022435855168
"62",11.6557565599106
"63",7.02922383278678
"64",8.46900163233476
"65",15.2846059135898
"66",9.32733059097684
"67",8.47511593971255
"68",7.04852592267867
"69",10.8660504918171
"70",11.8443428591001
"71",11.8426253707383
"72",13.1188462945911
"73",12.3577237180961
"74",10.5353838660517
"75",6.66508249404079
"76",6.76947606079132
"77",10.8940750048457
"78",9.98472515576263
"79",7.59322656474866
"80",10.9251607457837
"81",6.59983215402101
"82",11.0318908279559
"83",10.6743302938928
"84",13.9623306866085
"85",9.2097982243656
"86",11.328229580094
"87",9.4457878275471
"88",3.1481189489613
"89",8.6287909335375
"90",6.04591877584302
"91",8.75245425571532
"92",8.36621620497871
"93",13.6723213857663
"94",6.68941123986367
